2023-09-10 01:59:27,486 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-10 01:59:27,487 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Configure stats pid to 35316
2023-09-10 01:59:27,487 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Jesli's Laptop\.config\wandb\settings
2023-09-10 01:59:27,487 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\settings
2023-09-10 01:59:27,487 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'mlo-final-project', 'entity': 'msds_mlops2023_lt2', 'root_dir': "c:\\Users\\Jesli's Laptop\\Desktop\\Acads\\MLO\\mlo-final-project\\code", 'run_id': 'l6qvlsbk', 'sweep_param_path': "c:\\Users\\Jesli's Laptop\\Desktop\\Acads\\MLO\\mlo-final-project\\code\\wandb\\sweep-07cvwnue\\config-l6qvlsbk.yaml", 'sweep_id': '07cvwnue'}
2023-09-10 01:59:27,488 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-10 01:59:27,488 INFO    Thread-18 :35316 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-09-10 01:59:27,488 INFO    Thread-18 :35316 [wandb_init.py:_log_setup():524] Logging user logs to c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\run-20230910_015927-l6qvlsbk\logs\debug.log
2023-09-10 01:59:27,488 INFO    Thread-18 :35316 [wandb_init.py:_log_setup():525] Logging internal logs to c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\run-20230910_015927-l6qvlsbk\logs\debug-internal.log
2023-09-10 01:59:27,489 INFO    Thread-18 :35316 [wandb_init.py:_jupyter_setup():470] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x000001D3FC095C40>
2023-09-10 01:59:27,489 INFO    Thread-18 :35316 [wandb_init.py:init():564] calling init triggers
2023-09-10 01:59:27,489 INFO    Thread-18 :35316 [wandb_init.py:init():571] wandb.init called with sweep_config: {'architecture': 'CNN', 'dataset': 'Poems', 'embedding_dim': 128, 'epochs': 50, 'learning_rate': 0.07416055761156572, 'optimizer': 'adam'}
config: {}
2023-09-10 01:59:27,490 INFO    Thread-18 :35316 [wandb_init.py:init():614] starting backend
2023-09-10 01:59:27,490 INFO    Thread-18 :35316 [wandb_init.py:init():618] setting up manager
2023-09-10 01:59:27,504 INFO    Thread-18 :35316 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-09-10 01:59:27,505 INFO    Thread-18 :35316 [wandb_init.py:init():624] backend started and connected
2023-09-10 01:59:27,534 INFO    Thread-18 :35316 [wandb_run.py:_config_callback():1324] config_cb None None {'architecture': 'CNN', 'dataset': 'Poems', 'embedding_dim': 128, 'epochs': 50, 'learning_rate': 0.07416055761156572, 'optimizer': 'adam'}
2023-09-10 01:59:27,536 INFO    Thread-18 :35316 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-09-10 01:59:27,536 INFO    Thread-18 :35316 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-10 01:59:27,536 INFO    Thread-18 :35316 [wandb_init.py:init():715] updated telemetry
2023-09-10 01:59:27,622 INFO    Thread-18 :35316 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-10 01:59:29,108 INFO    Thread-18 :35316 [wandb_run.py:_on_init():2220] communicating current version
2023-09-10 01:59:32,598 INFO    Thread-18 :35316 [wandb_run.py:_on_init():2229] got version response 
2023-09-10 01:59:32,598 INFO    Thread-18 :35316 [wandb_init.py:init():799] starting run threads in backend
2023-09-10 01:59:32,859 INFO    Thread-18 :35316 [wandb_run.py:_console_start():2199] atexit reg
2023-09-10 01:59:32,859 INFO    Thread-18 :35316 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-10 01:59:32,859 INFO    Thread-18 :35316 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-10 01:59:32,859 INFO    Thread-18 :35316 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-10 01:59:32,860 INFO    Thread-18 :35316 [wandb_init.py:init():840] run started, returning control to user process
2023-09-10 01:59:50,877 INFO    Thread-18 :35316 [wandb_run.py:_finish():1934] finishing run msds_mlops2023_lt2/mlo-final-project/l6qvlsbk
2023-09-10 01:59:50,877 INFO    Thread-18 :35316 [jupyter.py:save_history():445] not saving jupyter history
2023-09-10 01:59:50,877 INFO    Thread-18 :35316 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-10 01:59:50,877 INFO    Thread-18 :35316 [wandb_init.py:_jupyter_teardown():452] cleaning up jupyter logic
2023-09-10 01:59:50,878 INFO    Thread-18 :35316 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 1
2023-09-10 01:59:50,878 INFO    Thread-18 :35316 [wandb_run.py:_restore():2151] restore
2023-09-10 01:59:50,878 INFO    Thread-18 :35316 [wandb_run.py:_restore():2157] restore done
