2023-09-10 18:16:58,002 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Current SDK version is 0.15.10
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Configure stats pid to 38296
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Jesli's Laptop\.config\wandb\settings
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Loading settings from c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\settings
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'mlo-final-project', 'entity': 'msds_mlops2023_lt2', 'root_dir': "c:\\Users\\Jesli's Laptop\\Desktop\\Acads\\MLO\\mlo-final-project\\code", 'run_id': '78s6uhr1', 'sweep_param_path': "c:\\Users\\Jesli's Laptop\\Desktop\\Acads\\MLO\\mlo-final-project\\code\\wandb\\sweep-c8mf7coc\\config-78s6uhr1.yaml", 'sweep_id': 'c8mf7coc'}
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_init.py:_log_setup():524] Logging user logs to c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\run-20230910_181657-78s6uhr1\logs\debug.log
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_init.py:_log_setup():525] Logging internal logs to c:\Users\Jesli's Laptop\Desktop\Acads\MLO\mlo-final-project\code\wandb\run-20230910_181657-78s6uhr1\logs\debug-internal.log
2023-09-10 18:16:58,003 INFO    Thread-15 :38296 [wandb_init.py:_jupyter_setup():470] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x00000206B539C070>
2023-09-10 18:16:58,004 INFO    Thread-15 :38296 [wandb_init.py:init():564] calling init triggers
2023-09-10 18:16:58,004 INFO    Thread-15 :38296 [wandb_init.py:init():571] wandb.init called with sweep_config: {'architecture': 'CNN', 'dataset': 'Poems', 'embedding_dim': 128, 'epochs': 20, 'learning_rate': 0.007366553302094918, 'optimizer': 'adam'}
config: {}
2023-09-10 18:16:58,004 INFO    Thread-15 :38296 [wandb_init.py:init():614] starting backend
2023-09-10 18:16:58,004 INFO    Thread-15 :38296 [wandb_init.py:init():618] setting up manager
2023-09-10 18:16:58,011 INFO    Thread-15 :38296 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn, using: spawn
2023-09-10 18:16:58,012 INFO    Thread-15 :38296 [wandb_init.py:init():624] backend started and connected
2023-09-10 18:16:58,023 INFO    Thread-15 :38296 [wandb_run.py:_config_callback():1324] config_cb None None {'architecture': 'CNN', 'dataset': 'Poems', 'embedding_dim': 128, 'epochs': 20, 'learning_rate': 0.007366553302094918, 'optimizer': 'adam'}
2023-09-10 18:16:58,025 INFO    Thread-15 :38296 [wandb_run.py:_label_probe_notebook():1276] probe notebook
2023-09-10 18:16:58,025 INFO    Thread-15 :38296 [wandb_run.py:_label_probe_notebook():1286] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-09-10 18:16:58,025 INFO    Thread-15 :38296 [wandb_init.py:init():715] updated telemetry
2023-09-10 18:16:58,068 INFO    Thread-15 :38296 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2023-09-10 18:16:59,657 INFO    Thread-15 :38296 [wandb_run.py:_on_init():2220] communicating current version
2023-09-10 18:16:59,714 INFO    Thread-15 :38296 [wandb_run.py:_on_init():2229] got version response 
2023-09-10 18:16:59,715 INFO    Thread-15 :38296 [wandb_init.py:init():799] starting run threads in backend
2023-09-10 18:16:59,864 INFO    Thread-15 :38296 [wandb_run.py:_console_start():2199] atexit reg
2023-09-10 18:16:59,864 INFO    Thread-15 :38296 [wandb_run.py:_redirect():2054] redirect: wrap_raw
2023-09-10 18:16:59,864 INFO    Thread-15 :38296 [wandb_run.py:_redirect():2119] Wrapping output streams.
2023-09-10 18:16:59,864 INFO    Thread-15 :38296 [wandb_run.py:_redirect():2144] Redirects installed.
2023-09-10 18:16:59,865 INFO    Thread-15 :38296 [wandb_init.py:init():840] run started, returning control to user process
2023-09-10 18:17:00,336 INFO    Thread-15 :38296 [wandb_run.py:_finish():1934] finishing run msds_mlops2023_lt2/mlo-final-project/78s6uhr1
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [jupyter.py:save_history():445] not saving jupyter history
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [wandb_init.py:_jupyter_teardown():452] cleaning up jupyter logic
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [wandb_run.py:_atexit_cleanup():2168] got exitcode: 1
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [wandb_run.py:_restore():2151] restore
2023-09-10 18:17:00,337 INFO    Thread-15 :38296 [wandb_run.py:_restore():2157] restore done
2023-09-10 18:17:05,543 INFO    Thread-15 :38296 [wandb_run.py:_footer_history_summary_info():3557] rendering history
2023-09-10 18:17:05,543 INFO    Thread-15 :38296 [wandb_run.py:_footer_history_summary_info():3589] rendering summary
2023-09-10 18:17:05,547 INFO    Thread-15 :38296 [wandb_run.py:_footer_sync_info():3516] logging synced files
